wavelength,Baseline 100%T,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19
1268,184.4017334,99.99757385,99.99525452,44.87867737,44.93323517,46.19570541,99.95466614,44.07036972,44.08177948,46.1312294,41.49875641,99.96180725,46.2378006,51.88251877,58.3109436,51.65182877,53.72888947,53.74518204,62.17300797,99.83461761
1266,184.4046783,99.98869324,99.97832489,44.87719345,44.92671967,46.17963409,99.9596405,44.05444336,44.06564331,45.99929047,41.53032303,99.95939636,46.37115479,51.86782074,58.28823853,51.64125443,53.7244606,53.73521423,62.15738678,99.8302002
1264,184.3944855,99.99230194,99.98126221,44.87301254,44.92528915,46.16059875,99.95143127,44.03813553,44.04476929,45.79007339,41.67739487,99.96282959,46.44170761,51.86842728,58.28935623,51.64151001,53.7285614,53.73356247,62.14616394,99.83543396
1262,184.3745575,99.99494934,99.99061584,44.87150955,44.91863632,46.13975143,99.95933533,44.01968384,44.02462006,45.57410049,41.86901855,99.96634674,46.42142868,51.88840103,58.29225922,51.64014053,53.7321167,53.73440552,62.13745499,99.8520813
1260,184.3756256,100.0039063,99.99526978,44.85338974,44.89980698,46.10884094,99.96083069,43.9993782,44.00547028,45.41040802,42.01046371,99.96262359999999,46.30339813,51.90127563,58.29408646,51.63424683,53.73189926,53.72703552,62.12609863,99.8433075
1258,184.38488769999998,99.99132538,99.98596191,44.83048248,44.88097382,46.07945251,99.95592499,43.97578049,43.98247528,45.35546112,42.0395546,99.95993042,46.12445831,51.90721129999999,58.29769516,51.63005447,53.73300934,53.72420502,62.10935211,99.83607483
1256,184.38795469999997,99.99115753,99.98905182,44.81422043,44.86473465,46.04822922,99.95614624,43.95602798,43.96312714,45.42499161,41.94091415,99.9571991,45.97830582,51.90218735,58.29193115,51.62702179,53.73605347,53.72529602,62.09547424,99.83950043
1254,184.3868103,99.99977112,99.98940277,44.80098343,44.85279846,46.02306366,99.96142578,43.93735504,43.946376799999996,45.59530258,41.74316406,99.96533203,45.9119339,51.88264084,58.27529526,51.62707138,53.74255753,53.72417068,62.08642578,99.84358215
1252,184.396286,99.99237061,99.99337006,44.78980637,44.84122467,45.99585724,99.95353699,43.91760254,43.92999268,45.78988647,41.50726318,99.96205139,45.94128036,51.86340332,58.25183487,51.62565231,53.74609756,53.72468948,62.07413101,99.83985138
1250,184.41003419999998,99.99378204,99.98683167,44.77744293,44.82846451,45.97607422,99.95375061,43.89821243,43.91194916,45.93499374,41.31052017,99.9545517,46.04327393,51.84241104,58.23051834,51.62084198,53.75009155,53.72527313,62.06246185,99.83703613
1248,184.41165159999997,99.99142456,99.98629761,44.76248169,44.81426239,45.96261215,99.95838165,43.88323212,43.89493942,45.98461533,41.22032928,99.96475983,46.18610764,51.84325409,58.22450638,51.62290955,53.76024246,53.729080200000006,62.0530014,99.83721161
1246,184.4254913,99.99984741,99.99304199,44.73740387,44.78888702,45.95311737,99.96419525,43.86616135,43.87373734,45.91119766,41.24860001,99.96598816,46.29809189,51.85511017,58.22543335,51.61868286,53.76684189,53.73002243,62.04314423,99.84404755
1244,184.4514923,99.99836731,99.98726654,44.70198059,44.7532959,45.94435883,99.95868683,43.84266663,43.84775925,45.73036575,41.39319229,99.95619202,46.31588364,51.870536799999996,58.22905731,51.61027908,53.76929474,53.73085022,62.03223419,99.83583832
1242,184.4693604,99.99098969,99.99081421,44.66226959,44.71483231,45.93767929,99.95646667,43.82106781,43.82497406,45.50667953,41.58150101,99.96178436,46.22365952,51.87527466,58.23221207,51.60609436,53.77243042,53.73225784,62.02062988,99.84328461
