wavelength,run_11,run_12,run_13,Baseline 100%T,run_14,run_15,run_16,run_17,Baseline 100%T.1,run_18,run_19,run_20,run_21,Baseline 100%T.2,Baseline 100%T.3,run_22,run_23,run_25,run_26,run_27,run_28,run_29,run_30,run_31,run_32,run_33
2185,52.03755951,99.45987701,99.98729706,99.6441803,52.43698883,52.55495453,52.052741999999995,53.0938797,99.54489136,52.25035477,52.21983337,52.91083527,52.32310486,99.53146362,100.19503780000001,99.78330231,51.78907013,51.03822327,52.00372314,99.73584747,99.99284363,49.52629471,49.49634933,51.09114075,50.70072556,100.007225
2180,52.0320015,99.47503662,99.98738098,99.56513977,52.43718719,52.55789948,52.04463196,53.08580399,99.46218109,52.25191879,52.21403122,52.90666199,52.3151474,99.45320129,100.1159897,99.77379608,51.78478241,51.03580475,51.99655914,99.73880768,99.98910522,49.51485443,49.48458862,51.08599091,50.68971634,99.9991684
2175,52.04244995,99.4770813,99.99649048,99.54219818,52.44028473,52.56677246,52.06004333,53.08765793,99.44494629,52.25775909,52.22166824,52.90170288,52.32433701,99.42047882,100.0939941,99.76049042,51.79275131,51.04177475,52.00788879,99.71874237,99.98388672,49.51211548,49.46440887,51.09255219,50.70251846,99.99130249
2170,52.03851318,99.47150421,99.99254608,99.5371933,52.44266891,52.56253433,52.0551033,53.080642700000006,99.43647003,52.25745392,52.21922302,52.90586853,52.319610600000004,99.41764832,100.08500670000001,99.76522064,51.78892517,51.0318985,52.002517700000006,99.72747803,99.98889923,49.49983215,49.45546722,51.09600449,50.69557571,99.99840546
2165,52.0500412,99.48355865,100.00370790000001,99.53807831,52.44278336,52.56329727,52.05588531,53.08002853,99.43849182,52.25650787,52.21643448,52.90819931,52.32106018,99.42862701,100.07724759999999,99.78339386,51.79367065,51.03721619,52.01153564,99.74571991,100.0014877,49.49022293,49.44716263,51.09325027,50.6946373,100.0131378
2160,52.04047012,99.48674774,99.99773407,99.50408173,52.44365311,52.56302261,52.05503845,53.07878113,99.40551758,52.25246048,52.22063065,52.90244293,52.32552338,99.39525604,100.06211090000001,99.76026154,51.78826904,51.02702332,52.00024414,99.71829224,99.98111725,49.48012161,49.44097137,51.09063339,50.68797302,99.98966217
2155,52.04519653,99.47675323,100.0027618,99.48312378,52.441989899999996,52.56168365,52.05653381,53.07990265,99.38027191,52.25735474,52.21875763,52.90408325,52.32254791,99.36489868,100.02919770000001,99.76888275,51.79454803,51.02861404,52.00556946,99.72691345,99.98995972,49.47122574,49.437732700000005,51.09399033,50.69122314,100.00232700000001
2150,52.0358429,99.47159576,99.99234772,99.46259308,52.4407196,52.55935287,52.04868317,53.07581329,99.36096954,52.25122452,52.21419907,52.90421295,52.32242966,99.34403992,100.0053177,99.77439117,51.79029083,51.02577209,52.00128555,99.73251343,99.99499512,49.46206665,49.42368698,51.08844757,50.68775558,100.002037
2145,52.03799438,99.47428894,99.99320221,99.43753052,52.43897247,52.55562592,52.04749298,53.075321200000005,99.33430481,52.25609589,52.21256638,52.90001678,52.31853104,99.32051086,99.98169708,99.76542664,51.7869072,51.02532578,51.9981308,99.73020935,99.98664856,49.44904327,49.41358566,51.08863068,50.685554499999995,100.0023117
2140,52.03726959,99.48001862,99.99677277,99.41702271,52.43874359,52.55592346,52.04507828,53.07175446,99.31207275,52.25505066,52.21435547,52.89423370000001,52.31440735,99.29206848,99.95155334,99.77345276,51.78740692,51.0295105,52.00499725,99.73597717,99.99349976,49.44724274,49.40860748,51.09235001,50.68950653,100.0055084
