wavelength,Baseline 100%T,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,Baseline 100%T.1,run14,run15,run16,run17,run18,run19
2448,97.77053070000001,99.99885559,99.6446991,103.38812259999999,100.2747879,99.98822021,100.0938568,100.9349442,101.0363083,99.79122162,85.05153656,98.25732422,99.37603759999999,99.9796524,97.63734436,99.4464035,100.57032009999999,99.10739136,100.15555570000001,100.2955933,100.0371552
2446,97.78296661,99.99576569,99.62593079,103.3461685,100.26444240000001,99.97903442,100.0837097,100.9305954,101.0289917,99.78737640000001,85.01940918,98.26156616,99.38053894,99.98152924,97.65317535,99.44350433,100.5690842,99.10651398,100.1556625,100.2997742,100.0282898
2444,97.79528046,99.99151611,99.60608673,103.27583309999999,100.2766266,99.97278595,100.04476170000001,100.91091159999999,101.0201111,99.79994202,84.99098969,98.26316071,99.37903595,99.94577026,97.659935,99.45178223,100.57088470000001,99.11076355,100.1593094,100.30428309999999,100.0424728
2442,97.79844666,99.99471283,99.61413574,103.2337189,100.2958908,99.97702789,100.0278244,100.9122849,101.0158386,99.81784058,84.97085571,98.25528717,99.36508942,99.9066925,97.65887451,99.45587158,100.58127590000001,99.12002563,100.1777191,100.28692629999999,100.05581670000001
2440,97.80290222,99.99210358,99.60919952,103.18883509999999,100.3258438,99.99912262,100.0093613,100.90650179999999,101.017067,99.82938385,84.94921112,98.25584412,99.38303375,99.87819672,97.66735077,99.46053314,100.5841751,99.12965393,100.1819229,100.27349090000001,100.07481379999999
2438,97.80337524,99.99042511,99.60179138,103.1197052,100.3417053,100.00634000000001,100.0034561,100.90973659999999,101.01526640000002,99.85513306,84.95741272,98.27792358,99.40116119,99.86167145,97.68040466,99.45453644,100.57637790000001,99.13079071,100.192688,100.2625351,100.0957031
2436,97.80912018,99.99365997,99.61589813,103.08629609999998,100.3619308,100.01778409999999,99.99020386,100.89774320000001,101.01303859999999,99.86961365,84.98825073,98.30656433,99.40036774,99.84551239,97.69290161,99.45459747,100.57164759999999,99.12705231,100.19567109999998,100.2698441,100.1139755
2434,97.81656647,99.99280548,99.60838318,103.042923,100.3600464,100.02225490000001,99.98940277,100.9001999,101.01498409999999,99.87987518,84.97518158,98.3150177,99.41194916,99.83568573,97.71304321,99.44515228,100.578598,99.11677551,100.188652,100.2583466,100.1313553
2432,97.82868195,99.9981308,99.64394379,103.03490450000001,100.3771667,100.04570770000001,100.0067215,100.9080505,101.01960749999999,99.88954163,84.93841553,98.30364227,99.41703033,99.85168457,97.73950195,99.43467712,100.58126829999999,99.11207581,100.1882401,100.2214432,100.1298676
2430,97.85003662,99.99530792,99.64386749,102.983902,100.36439509999998,100.0405426,100.0052948,100.89543909999999,101.0126495,99.87565613,84.91065216,98.27779388,99.41552734,99.86931609999999,97.76482391,99.4214325,100.58633420000001,99.10451508,100.1720657,100.1796265,100.11183929999999
2428,97.86593628,99.99651337,99.65546417,102.93479920000001,100.35279849999999,100.0371933,100.01799770000001,100.892746,101.0130997,99.87148285,84.90319061,98.28661346,99.3999176,99.88977051,97.79553223,99.40924835,100.59365840000001,99.09009552,100.1526031,100.1397095,100.09543609999999
2426,97.87966156,99.99950409,99.66750336,102.88976290000001,100.35086820000001,100.0410309,100.0345459,100.904892,101.0189514,99.8628006,84.89607239,98.28498077,99.39612579,99.89584351,97.79902649,99.42472839,100.6329498,99.09933472,100.1750031,100.14156340000001,100.0955124
2424,97.89828491,99.99896240000001,99.66355133,102.8512497,100.32916259999999,100.0343094,100.05480959999998,100.9072418,101.0251007,99.84759521,84.88835907,98.27149200000001,99.39833832,99.89944458,97.81313324,99.41230011,100.65845490000001,99.08571625,100.16529849999999,100.1219635,100.0654602
2422,97.91229248,100.00578309999999,99.66282654,102.799736,100.3195801,100.0144043,100.05580140000001,100.9177094,101.0227814,99.84978485,84.85833740000001,98.26541901,99.38099670000001,99.89409637,97.82421112,99.41658783,100.67804720000001,99.08355713,100.1539078,100.10350799999999,100.0697937
2420,97.92983246,99.9874115,99.64614105,102.74810790000001,100.30578609999999,99.99814606,100.04669190000001,100.90962979999999,101.0139313,99.84276581,84.820961,98.22658539,99.38637543,99.87752533,97.82225799999999,99.43363953,100.70487209999999,99.09329987,100.1807785,100.1281357,100.08489990000001
2418,97.93514252,99.99752045,99.64559937,102.69981379999999,100.3051376,99.99712372,100.0533371,100.9180756,101.0179672,99.85624695,84.83612823,98.23773193,99.39201355,99.88464355,97.8372345,99.44289398,100.7069321,99.08975983,100.1733093,100.1416168,100.08489990000001
2416,97.95133209,99.99622345,99.63424683,102.6574097,100.3034439,99.98162079,100.04371640000001,100.91919709999999,101.015007,99.86470032,84.83332062,98.26184845,99.38726044,99.87854767,97.85912323,99.43492126,100.6942368,99.07385254,100.1438522,100.1256561,100.0930328
2414,97.96318054,99.99812317,99.6556015,102.6315231,100.3171921,99.99816895,100.0433197,100.9126205,101.0062943,99.8674469,84.82685089,98.27883911,99.39539337,99.86856842,97.86623383,99.43122864,100.69808959999999,99.08735657,100.1663589,100.143364,100.1010056
