wavelength,Baseline 100%T,run11,run12,run13,run14,Baseline 100%T.1,run15,run16,run17,run18,run19,run20,run21,Baseline 100%T.2,run22,run23,run24
2456,1.275853872,100.0609436,100.0848541,98.49879456,100.34878540000001,5.320133686,100.1852264,100.4087677,72.94902039,100.41235350000001,97.94367218,100.6060028,100.482605,5.348145008,98.85571289,100.01642609999999,100.07813259999999
2454,1.272125602,100.0698318,100.0780792,98.4937439,100.3929291,5.366253376,100.2240448,100.4429703,72.96212006,100.4282227,98.05718231,100.6539688,100.4936447,5.394718647,98.83057404,100.0125656,100.0843964
2452,1.2689969540000001,100.0804672,100.1125107,98.52761078,100.4076157,5.4063673020000005,100.2381821,100.44104770000001,72.96024323,100.433815,98.28636932,100.6600037,100.4750748,5.434473037999999,98.8201828,100.0133057,100.087059
2450,1.2652421,100.0568848,100.1203918,98.45877075,100.39098359999998,5.453137875,100.3440475,100.43388370000001,72.92533875,100.4237747,98.17527008,100.6810455,100.4735947,5.48075819,98.84925842,100.0084991,100.1017609
2448,1.259100914,100.06961820000001,100.11865999999999,98.51750946,100.4342804,5.5321488379999995,100.2926941,100.42401890000001,72.89078522,100.43616490000001,98.41794586,100.6763229,100.46215059999999,5.560950279,98.82590485,100.01938630000001,100.0813446
2446,1.2524367570000001,100.0616684,100.1191025,98.57032013,100.3935242,5.617096424,100.1903763,100.4132385,72.79216766,100.4657974,98.32614899,100.61900329999999,100.4542465,5.645622252999999,98.80342865,99.99759674,100.08933259999999
2444,1.244277954,100.070015,100.1484375,98.58303070000001,100.40799709999999,5.7247538570000005,100.1149445,100.41539759999999,72.65585327,100.4204483,97.995224,100.61151120000001,100.42202759999999,5.752691269,98.81929016,100.00379179999999,100.1005554
2442,1.235152721,100.0697632,100.11685940000001,98.61742401,100.3648911,5.844508171,100.1183472,100.41177370000001,72.56126404,100.3929825,98.10247803,100.62570190000001,100.4550247,5.873328208999999,98.81165314,100.00443270000001,100.1129532
2440,1.226364017,100.0558853,100.0978699,98.47187042,100.3356552,5.963260174,100.1948929,100.3900681,72.66335297,100.3618622,98.0502243,100.5688095,100.4465942,5.993281841,98.77954102,99.99861145,100.1093521
2438,1.222389817,100.0767975,100.12501529999999,98.49883270000001,100.384819,6.019269466,100.22544859999999,100.4118347,72.74832916,100.3701477,97.78540039,100.6101608,100.4870682,6.050490379,98.82606506,99.98881531,100.0987396
2436,1.2201575040000001,100.0716934,100.125946,98.46361542,100.362381,6.049976349,100.2638474,100.4213791,72.64715576,100.3989334,97.98133087,100.63915250000001,100.4914398,6.081412792,98.81018066,100.01651,100.1384125
